order_status_id,name,,,,,,,,
1,ordered,,,,,,,,
2,preparing,,,,,,,,
3,ready,,,,,,,,
4,delivered,,,,,,,Query,
5,ordered,,,,,,,Select*,
6,preparing,,,,,,,From order_status,
7,ready,,,,,,,,
8,delivered,,,,,,,,
9,ordered,,,,,,,,
10,preparing,,,,,,,,
11,ready,,,,,,,,
12,delivered,,,,,,,,
13,ordered,,,,,,,,
14,preparing,,,,,,,,
15,ready,,,,,,,,
16,delivered,,,,,,,,
17,ordered,,,,,,,,
18,preparing,,,,,,,,
19,ready,,,,,,,,
20,delivered,,,,,,,,
21,ordered,,,,,,,,
22,preparing,,,,,,,,
23,ready,,,,,,,,
24,delivered,,,,,,,,
25,ordered,,,,,,,,
26,preparing,,,,,,,,
27,ready,,,,,,,,
28,delivered,,,,,,,,
29,ordered,,,,,,,,
30,preparing,,,,,,,,
31,ready,,,,,,,,
32,delivered,,,,,,,,
33,ordered,,,,,,,,
34,preparing,,,,,,,,
35,ready,,,,,,,,
36,delivered,,,,,,,,
37,ordered,,,,,,,,
38,preparing,,,,,,,,
39,ready,,,,,,,,
40,delivered,,,,,,,,
41,ordered,,,,,,,,
42,preparing,,,,,,,,
43,ready,,,,,,,,
44,delivered,,,,,,,,
45,ordered,,,,,,,,
46,preparing,,,,,,,,
47,ready,,,,,,,,
48,delivered,,,,,,,,
49,ordered,,,,,,,,
50,preparing,,,,,,,,
51,ready,,,,,,,,
52,delivered,,,,,,,,
53,ordered,,,,,,,,
54,preparing,,,,,,,,
55,ready,,,,,,,,
56,delivered,,,,,,,,
57,ordered,,,,,,,,
58,preparing,,,,,,,,
59,ready,,,,,,,,
60,delivered,,,,,,,,
61,ordered,,,,,,,,
62,preparing,,,,,,,,
63,ready,,,,,,,,
64,delivered,,,,,,,,
65,ordered,,,,,,,,
66,preparing,,,,,,,,
67,ready,,,,,,,,
68,delivered,,,,,,,,
69,ordered,,,,,,,,
70,preparing,,,,,,,,
71,ready,,,,,,,,
72,delivered,,,,,,,,
73,ordered,,,,,,,,
74,preparing,,,,,,,,
75,ready,,,,,,,,
76,delivered,,,,,,,,
77,ordered,,,,,,,,
78,preparing,,,,,,,,
79,ready,,,,,,,,
80,delivered,,,,,,,,
81,ordered,,,,,,,,
82,preparing,,,,,,,,
83,ready,,,,,,,,
84,delivered,,,,,,,,
85,ordered,,,,,,,,
86,preparing,,,,,,,,
87,ready,,,,,,,,
88,delivered,,,,,,,,
89,ordered,,,,,,,,
90,preparing,,,,,,,,
91,ready,,,,,,,,
92,delivered,,,,,,,,
93,ordered,,,,,,,,
94,preparing,,,,,,,,
95,ready,,,,,,,,
96,delivered,,,,,,,,
97,ordered,,,,,,,,
98,preparing,,,,,,,,
99,ready,,,,,,,,
100,delivered,,,,,,,,
